Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Single Cell	Removing the effects of the cell cycle	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-case_cell-cycle/tutorial.html		Differential gene expression analysis, Expression profile clustering, Principal component visualisation	2023-01-25	2026-06-25	16	True	False	False	True	scanpy_cluster_reduce_dimension, scanpy_regress_variable, tp_easyjoin_tool, table_compute, cat1, scanpy_inspect, scanpy_plot, anndata_manipulate, anndata_inspect, addValue, sort1			0		2442	2856	3.1666666666666665	0
Single Cell	Clustering 3K PBMCs with Scanpy	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-scanpy-pbmc3k/tutorial.html		Differential gene expression analysis, Expression profile clustering, Principal component visualisation	2019-12-19	2026-07-28	18	True	True	True	True	scanpy_cluster_reduce_dimension, scanpy_plot, scanpy_inspect, anndata_import, scanpy_remove_confounders, anndata_manipulate, datamash_ops, anndata_inspect, scanpy_normalize, scanpy_filter, celltypist	UseGalaxy.eu		0		4017421	9396846	8.05	0
Single Cell	Combining single cell datasets after pre-processing	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-case_alevin-combine-datasets/tutorial.html			2022-09-08	2025-11-18	23	True	False	True	True	Cut1, anndata_manipulate, anndata_inspect, anndata_ops, tp_replace_in_column, Paste1	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu	UseGalaxy.cz, UseGalaxy.org (Main)	0		2811	3892	10.566666666666666	0
Single Cell	Comparing inferred cell compositions using MuSiC deconvolution	https://training.galaxyproject.org//topics/single-cell/tutorials/bulk-music-4-compare/tutorial.html			2023-01-20	2026-06-25	11	True	False	False	True	music_compare	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.org (Main)		0		390	544	12.4	0
Single Cell	Understanding Barcodes	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-umis/tutorial.html		Statistical calculation, Sequence composition calculation, Sequencing quality control	2019-02-20	2026-06-25	12	True	False	True	True	seq_filter_by_id, umi_tools_extract, fastqc	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	Galaxy@AuBi, UseGalaxy.no	0		7051	8735	5.116666666666666	0
Single Cell	Filter, plot, and explore single cell RNA-seq data with Seurat (R)	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-case_FilterPlotandExploreRStudio/tutorial.html			2023-10-02	2025-03-11	11	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		3948	4466	3.283333333333333	0
Single Cell	Filter, plot and explore single-cell RNA-seq data with Scanpy (Python)	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-case-jupyter_basic-pipeline/tutorial.html			2023-08-25	2025-03-11	13	True	False	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		3879	4560	4.133333333333334	0
Single Cell	Scanpy Parameter Iterator	https://training.galaxyproject.org//topics/single-cell/tutorials/scanpy_parameter_iterator/tutorial.html			2023-07-19	2026-06-25	9	True	False	False	True	scanpy_run_umap, scanpy_plot_embed, scanpy_parameter_iterator, scanpy_run_tsne, scanpy_compute_graph, scanpy_find_cluster	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.org (Main)		0		379	416	7.883333333333334	0
Single Cell	Multi-sample batch correction with Harmony and SnapATAC2	https://training.galaxyproject.org//topics/single-cell/tutorials/scatac-batch-correction-snapatac2/tutorial.html		Dimensionality reduction, Gene expression profiling, Essential dynamics	2025-02-28	2025-07-02	2	True	False	False	True	snapatac2_plotting, __FILTER_FROM_FILE__, Show beginning1, fasta_compute_length, anndata_manipulate, anndata_inspect, collection_element_identifiers, snapatac2_preprocessing, __EXTRACT_DATASET__, snapatac2_clustering, snapatac2_peaks_and_motif	UseGalaxy.org.au, UseGalaxy.eu, UseGalaxy.org (Main)		0		832	918	2.5166666666666666	0
Single Cell	Evaluating Reference Data for Bulk RNA Deconvolution	https://training.galaxyproject.org//topics/single-cell/tutorials/bulk-deconvolution-evaluate/tutorial.html		Annotation, Visualisation	2025-02-02	2026-06-25	4	True	False	False	True	tp_easyjoin_tool, Count1, Remove beginning1, tp_sed_tool, tp_cut_tool, collapse_dataset, tp_multijoin_tool, music_deconvolution, ggplot2_point, music_construct_eset, bg_column_arrange_by_header, table_compute, __DUPLICATE_FILE_TO_COLLECTION__, datamash_transpose, tp_awk_tool, Cut1, ggplot2_violin, Add_a_column1, collection_column_join, join1, annotatemyids, Paste1	UseGalaxy.org.au, UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.be, UseGalaxy.cz	0		240	270	11.783333333333333	0
Single Cell	Filter, plot and explore single-cell RNA-seq data with Scanpy	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-case_basic-pipeline/tutorial.html		Differential gene expression analysis, Expression profile clustering, Principal component visualisation	2021-03-24	2025-04-23	24	True	False	True	True	scanpy_filter_cells, retrieve_scxa, anndata_inspect, scanpy_normalise_data, scanpy_cluster_reduce_dimension, interactive_tool_cellxgene_vip, scanpy_filter_genes, scanpy_find_variable_genes, scanpy_plot, anndata_manipulate, scanpy_run_umap, scanpy_run_pca, scanpy_plot_embed, scanpy_find_markers, scanpy_normalize, scanpy_compute_graph, scanpy_scale_data, scanpy_filter, scanpy_find_cluster, Cut1, scanpy_inspect, scanpy_run_tsne, anndata_ops, join1			0		6069	9390	7.716666666666667	0
Single Cell	Clustering 3K PBMCs with Seurat	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-seurat-pbmc3k/tutorial.html			2025-01-23	2025-05-09	5	True	False	True	True	csv_to_tabular, seurat_clustering, seurat_plot, Cut1, Filter1, seurat_create, seurat_preprocessing, seurat_reduce_dimension, seurat_data	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	MISSISSIPPI	0		2691	3273	4.85	0
Single Cell	Filter, plot, and explore single cell RNA-seq data with Seurat	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-case_FilterPlotandExplore_SeuratTools/tutorial.html			2024-04-09	2025-03-11	10	True	False	False	True	seurat_find_variable_genes, seurat_scale_data, seurat_plot, seurat_read10x, seurat_find_markers, retrieve_scxa, seurat_find_clusters, seurat_run_umap, seurat_normalise_data, seurat_run_pca, seurat_filter_cells, seurat_find_neighbours	UseGalaxy.org.au, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)		0		2867	3400	5.683333333333334	0
Single Cell	Inferring single cell trajectories with Scanpy (Python)	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-case_JUPYTER-trajectories/tutorial.html			2021-04-07	2025-03-11	20	True	False	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		5250	6111	3.683333333333333	0
Single Cell	Batch Correction and Integration with Seurat or Scanpy	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna_batch_correction/tutorial.html		Differential gene expression analysis, Expression profile clustering, Principal component visualisation	2026-07-09	2026-07-09	1	True	False	False	True	scanpy_cluster_reduce_dimension, Count1, seurat_clustering, seurat_plot, scanpy_plot, scanpy_inspect, scanpy_remove_confounders, anndata_inspect, scanpy_normalize, seurat_preprocessing, scanpy_filter, seurat_reduce_dimension, seurat_integrate, seurat_data	UseGalaxy.org.au, UseGalaxy.eu	UseGalaxy.org (Main)	0		61	66	7.15	0
Single Cell	Inferring single cell trajectories with Scanpy	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-case_trajectories/tutorial.html			2023-12-08	2025-03-11	13	True	False	False	True	scanpy_plot_trajectory, scanpy_run_paga, scanpy_plot_embed, scanpy_run_fdg, anndata_manipulate, scanpy_run_dpt, scanpy_compute_graph, scanpy_run_diffmap, scanpy_find_cluster		UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.org (Main)	0		1590	1967	7.6	0
Single Cell	Matrix Exchange Format to ESet | Creating a single-cell RNA-seq reference dataset for deconvolution	https://training.galaxyproject.org//topics/single-cell/tutorials/bulk-music-2-preparescref/tutorial.html		Annotation	2023-01-20	2026-06-25	9	True	False	False	True	tp_awk_tool, tp_easyjoin_tool, table_compute, music_manipulate_eset, Cut1, scanpy_read_10x, retrieve_scxa, sort1, anndata_inspect, datamash_transpose, annotatemyids, tp_sed_tool, music_construct_eset, regex1, tp_cut_tool, join1, add_line_to_file		UseGalaxy.cz	0		848	1356	7.916666666666667	0
Single Cell	Inferring single cell trajectories with Monocle3 (R)	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-case_monocle3-rstudio/tutorial.html			2023-04-12	2025-03-11	13	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		7595	8557	1.55	0
Single Cell	Inferring single cell trajectories with Monocle3	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-case_monocle3-trajectories/tutorial.html			2022-09-30	2025-04-23	24	True	False	True	True	monocle3_diffExp, monocle3_learnGraph, monocle3_preprocess, Cut1, Filter1, monocle3_reduceDim, monocle3_create, monocle3_partition, regexColumn1, anndata_inspect, datamash_transpose, monocle3_orderCells, monocle3_plotCells, tp_cut_tool, join1, monocle3_topmarkers	UseGalaxy.be, UseGalaxy.eu, UseGalaxy.org (Main)		0		4453	5473	3.8833333333333333	0
Single Cell	Bulk matrix to ESet | Creating the bulk RNA-seq dataset for deconvolution	https://training.galaxyproject.org//topics/single-cell/tutorials/bulk-music-3-preparebulk/tutorial.html		Annotation	2023-01-20	2026-06-25	9	True	False	False	True	tp_awk_tool, tp_easyjoin_tool, table_compute, music_manipulate_eset, column_remove_by_header, annotatemyids, tp_sed_tool, music_construct_eset, regex1, tp_cut_tool, sort1		UseGalaxy.cz	0		884	1309	8.15	0
